path,line,raw_marker,description
module_a.py,7,# TODO: Add input validation for empty data,Add input validation for empty data
module_a.py,8,# TODO: Implement caching mechanism for repeated calls,Implement caching mechanism for repeated calls
module_a.py,9,# TODO(dev): Add support for streaming data processing,Add support for streaming data processing
module_a.py,14,# TODO - Implement proper schema validation,Implement proper schema validation
module_a.py,15,# TODO(dev): Add type hints,Add type hints
module_a.py,22,# TODO(dev): Implement option handling,Implement option handling
module_a.py,29,# TODO: Load config from file instead of hardcoding,Load config from file instead of hardcoding
module_a.py,30,# TODO(dev): Add validation for config parameters,Add validation for config parameters
module_a.py,35,# TODO(warning): Handle network timeout gracefully,Handle network timeout gracefully
module_a.py,36,# TODO(future): Add support for batch processing,Add support for batch processing
module_a.py,37,# TODO(dev): Implement error recovery,Implement error recovery
module_a.py,41,# TODO(dev): Graceful shutdown implementation,Graceful shutdown implementation
module_b.py,5,# TODO: Add retry logic for failed requests,Add retry logic for failed requests
module_b.py,6,# TODO(bug): Fix memory leak in connection pool,Fix memory leak in connection pool
module_b.py,7,# TODO(dev): Add connection pooling configuration,Add connection pooling configuration
module_b.py,11,# TODO: Add timeout parameter,Add timeout parameter
module_b.py,12,# TODO: Handle SSL certificate errors,Handle SSL certificate errors
module_b.py,13,# TODO(dev): Implement exponential backoff,Implement exponential backoff
module_b.py,18,# TODO - Implement request signing,Implement request signing
module_b.py,19,# TODO(dev): Add response compression support,Add response compression support
module_b.py,24,# TODO(dev): Implement concurrent batch processing,Implement concurrent batch processing
tests/test_module_a.py,3,# TODO: Add more test cases,Add more test cases
tests/test_module_a.py,4,# TODO: Mock external dependencies,Mock external dependencies
tests/test_module_a.py,7,# TODO: Test edge cases,Test edge cases
utils/helpers.py,3,# TODO add support for multi-threading,add support for multi-threading
utils/helpers.py,4,# TODO(bugfix): Race condition in concurrent access,Race condition in concurrent access
utils/helpers.py,8,# TODO: Support custom formatting templates,Support custom formatting templates
